"filename", "language", "JSON", "JSON with Comments", "Log", "TypeScript", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\hp\exhime_backend\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\hp\exhime_backend\babel.config.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 27
"c:\Users\hp\exhime_backend\jest-mongodb-config.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 1, 13
"c:\Users\hp\exhime_backend\jest.config.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 6, 3, 19
"c:\Users\hp\exhime_backend\package.json", "JSON", 74, 0, 0, 0, 0, 0, 0, 1, 75
"c:\Users\hp\exhime_backend\src\app.ts", "TypeScript", 0, 0, 0, 38, 0, 0, 4, 15, 57
"c:\Users\hp\exhime_backend\src\config\database\mongo.interface.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 2, 16
"c:\Users\hp\exhime_backend\src\config\database\mongo.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 4, 17
"c:\Users\hp\exhime_backend\src\config\database\mongoMemory.ts", "TypeScript", 0, 0, 0, 22, 0, 0, 0, 3, 25
"c:\Users\hp\exhime_backend\src\config\logger.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 33, 7, 40
"c:\Users\hp\exhime_backend\src\config\swagger\swagger.json", "JSON", 1, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\hp\exhime_backend\src\config\testSetup\setupMongoMemoryTest.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\hp\exhime_backend\src\controllers\auth\index.ts", "TypeScript", 0, 0, 0, 42, 0, 0, 0, 8, 50
"c:\Users\hp\exhime_backend\src\controllers\general\index.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 0, 5, 31
"c:\Users\hp\exhime_backend\src\controllers\item\index.ts", "TypeScript", 0, 0, 0, 84, 0, 0, 0, 9, 93
"c:\Users\hp\exhime_backend\src\controllers\quotation\index.ts", "TypeScript", 0, 0, 0, 98, 0, 0, 0, 9, 107
"c:\Users\hp\exhime_backend\src\controllers\service\index.ts", "TypeScript", 0, 0, 0, 94, 0, 0, 0, 8, 102
"c:\Users\hp\exhime_backend\src\controllers\user\index.ts", "TypeScript", 0, 0, 0, 125, 0, 0, 0, 13, 138
"c:\Users\hp\exhime_backend\src\helpers\checkUserExists.ts", "TypeScript", 0, 0, 0, 13, 0, 0, 0, 3, 16
"c:\Users\hp\exhime_backend\src\helpers\sendVerificationEmail.ts", "TypeScript", 0, 0, 0, 51, 0, 0, 1, 10, 62
"c:\Users\hp\exhime_backend\src\middleware\auth.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 1, 5, 24
"c:\Users\hp\exhime_backend\src\middleware\lightAuth.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 1, 4, 25
"c:\Users\hp\exhime_backend\src\models\Item\index.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 0, 3, 10
"c:\Users\hp\exhime_backend\src\models\Quotation\index.ts", "TypeScript", 0, 0, 0, 17, 0, 0, 0, 3, 20
"c:\Users\hp\exhime_backend\src\models\Service\index.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 3, 12
"c:\Users\hp\exhime_backend\src\models\User\index.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 14, 15, 104
"c:\Users\hp\exhime_backend\src\router.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\hp\exhime_backend\src\routes\auth\index.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 1, 4, 12
"c:\Users\hp\exhime_backend\src\routes\general\index.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 12, 6, 27
"c:\Users\hp\exhime_backend\src\routes\item\index.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 83, 11, 104
"c:\Users\hp\exhime_backend\src\routes\quotation\index.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 81, 10, 101
"c:\Users\hp\exhime_backend\src\routes\service\index.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 81, 10, 101
"c:\Users\hp\exhime_backend\src\routes\user\index.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 2, 5, 19
"c:\Users\hp\exhime_backend\src\server.test.ts", "TypeScript", 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\hp\exhime_backend\src\server.ts", "TypeScript", 0, 0, 0, 7, 0, 0, 1, 4, 12
"c:\Users\hp\exhime_backend\src\testServer.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 10, 6, 18
"c:\Users\hp\exhime_backend\src\tests\api.test.ts", "TypeScript", 0, 0, 0, 35, 0, 0, 0, 5, 40
"c:\Users\hp\exhime_backend\src\tests\config.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"c:\Users\hp\exhime_backend\src\tests\fixtures\data.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\hp\exhime_backend\src\types\Service.d.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\hp\exhime_backend\src\types\User.d.ts", "TypeScript", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\hp\exhime_backend\src\util\.s3Methods.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 38, 8, 46
"c:\Users\hp\exhime_backend\src\util\anyInterface.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\hp\exhime_backend\src\util\csvToJson.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\hp\exhime_backend\src\util\uploadToS3.ts", "TypeScript", 0, 0, 0, 26, 0, 0, 2, 2, 30
"c:\Users\hp\exhime_backend\tsconfig.json", "JSON with Comments", 0, 27, 0, 0, 0, 0, 6, 1, 34
"c:\Users\hp\exhime_backend\vercel.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 1, 17
"c:\Users\hp\exhime_backend\yarn-error.log", "Log", 0, 0, 6932, 0, 0, 0, 0, 1053, 7985
"Total", "-", 113, 27, 6932, 956, 1, 27, 391, 1274, 9721
